fuken_id,fuken_name,fuken_short,fuken_pref,fuken_location
11,宗谷総合振興局,宗谷,北海道,札幌管区 気象台管内
12,上川総合振興局,上川,北海道,札幌管区 気象台管内
13,留萌振興局,留萌,北海道,札幌管区 気象台管内
14,石狩振興局,石狩,北海道,札幌管区 気象台管内
15,空知総合振興局,空知,北海道,札幌管区 気象台管内
16,後志総合振興局,後志,北海道,札幌管区 気象台管内
17,オホーツク総合振興局,オホーツク,北海道,札幌管区 気象台管内
18,根室振興局,根室,北海道,札幌管区 気象台管内
19,釧路総合振興局,釧路,北海道,札幌管区 気象台管内
20,十勝総合振興局,十勝,北海道,札幌管区 気象台管内
21,胆振総合振興局,胆振,北海道,札幌管区 気象台管内
22,日高振興局,日高,北海道,札幌管区 気象台管内
23,渡島総合振興局,渡島,北海道,札幌管区 気象台管内
24,檜山振興局,檜山,北海道,札幌管区 気象台管内
31,青森県,青森,青森県,仙台管区 気象台管内
32,秋田県,秋田,秋田県,仙台管区 気象台管内
33,岩手県,岩手,岩手県,仙台管区 気象台管内
34,宮城県,宮城,宮城県,仙台管区 気象台管内
35,山形県,山形,山形県,仙台管区 気象台管内
36,福島県,福島,福島県,仙台管区 気象台管内
40,茨城県,茨城,茨城県,東京管区 気象台管内
41,栃木県,栃木,栃木県,東京管区 気象台管内
42,群馬県,群馬,群馬県,東京管区 気象台管内
43,埼玉県,埼玉,埼玉県,東京管区 気象台管内
44,東京都,東京,東京都,東京管区 気象台管内
45,千葉県,千葉,千葉県,東京管区 気象台管内
46,神奈川県,神奈川,神奈川県,東京管区 気象台管内
48,長野県,長野,長野県,東京管区 気象台管内
49,山梨県,山梨,山梨県,東京管区 気象台管内
50,静岡県,静岡,静岡県,東京管区 気象台管内
51,愛知県,愛知,愛知県,東京管区 気象台管内
52,岐阜県,岐阜,岐阜県,東京管区 気象台管内
53,三重県,三重,三重県,東京管区 気象台管内
54,新潟県,新潟,新潟県,東京管区 気象台管内
55,富山県,富山,富山県,東京管区 気象台管内
56,石川県,石川,石川県,東京管区 気象台管内
57,福井県,福井,福井県,東京管区 気象台管内
60,滋賀県,滋賀,滋賀県,大阪管区 気象台管内
61,京都府,京都,京都府,大阪管区 気象台管内
62,大阪府,大阪,大阪府,大阪管区 気象台管内
63,兵庫県,兵庫,兵庫県,大阪管区 気象台管内
64,奈良県,奈良,奈良県,大阪管区 気象台管内
65,和歌山県,和歌山,和歌山県,大阪管区 気象台管内
66,岡山県,岡山,岡山県,大阪管区 気象台管内
67,広島県,広島,広島県,大阪管区 気象台管内
68,島根県,島根,島根県,大阪管区 気象台管内
69,鳥取県,鳥取,鳥取県,大阪管区 気象台管内
71,徳島県,徳島,徳島県,大阪管区 気象台管内
72,香川県,香川,香川県,大阪管区 気象台管内
73,愛媛県,愛媛,愛媛県,大阪管区 気象台管内
74,高知県,高知,高知県,大阪管区 気象台管内
81,山口県,山口,山口県,福岡管区 気象台管内
82,福岡県,福岡,福岡県,福岡管区 気象台管内
83,大分県,大分,大分県,福岡管区 気象台管内
84,長崎県,長崎,長崎県,福岡管区 気象台管内
85,佐賀県,佐賀,佐賀県,福岡管区 気象台管内
86,熊本県,熊本,熊本県,福岡管区 気象台管内
87,宮崎県,宮崎,宮崎県,福岡管区 気象台管内
88,鹿児島県,鹿児島,鹿児島県,福岡管区 気象台管内
91,沖縄県（下記の地域を除く）,沖縄,沖縄県,沖縄気象台 管内
92,島尻郡のうち、南大東村及び北大東村,沖縄,沖縄県,沖縄気象台 管内
93,宮古島市及び宮古郡,沖縄,沖縄県,沖縄気象台 管内
94,石垣市及び八重山郡,沖縄,沖縄県,沖縄気象台 管内
